|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-09-18|EB08      |Ladysmith           |Tanker Services Fuel      |250           |10.31           |1.723832          |430.96                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-11|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|312           |13.75           |4.752             |746.97                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-13|EA35      |Bethlehem           |Unitrans Supply Chain Sols|12            |15.65           |2.70432           |32.45                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-04|EA35      |Bethlehem           |Unitrans Supply Chain Sols|226           |11.4            |5.913216          |373.89                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-09-27|EA35      |Bethlehem           |Unitrans Supply Chain Sols|346           |10.19           |3.523392          |752.06                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-21|EB16      |Natref              |Maphalakarabo             |250           |14.51           |1.445196          |361.3                              |Primary         |MPK-VEN-DIR-1   |463,324                 |
|2024-08-18|EA35      |Bethlehem           |Unitrans Supply Chain Sols|400           |3.74            |1.294272          |225.6                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-21|EA33      |Alrode              |Unitrans Supply Chain Sols|2,373         |14.29           |44.471808         |4,610.99                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-10|EB21      |Waltloo             |Makwande                  |4,787         |19.71           |79.111631         |9,578.44                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-14|EB44      |Witbank             |Makwande                  |611           |8.13            |1.165029          |711.83                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-05|EB06      |Island View Terminal|Tanker Services Fuel      |820           |10.17           |10.204216         |1,152.27                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-06|EA33      |Alrode              |Unitrans Supply Chain Sols|2,233         |9.28            |22.451904         |2,734.49                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-04|EA33      |Alrode              |Unitrans Supply Chain Sols|1,784         |14.18           |44.121024         |5,107.61                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-27|EA33      |Alrode              |Unitrans Supply Chain Sols|2,915         |11.15           |48.19392          |4,781.78                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-21|EB05      |East London         |Tanker Services Fuel      |164           |5.55            |0.92796           |152.19                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-09-05|EB06      |Island View Terminal|Tanker Services Fuel      |2,954         |13.99           |44.443432         |7,171.53                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-19|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|151           |12.95           |6.71328           |476.05                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-20|EB06      |Island View Terminal|Tanker Services Fuel      |1,664         |16.24           |21.732656         |5,518.83                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-29|EB21      |Waltloo             |Makwande                  |1,136         |10.46           |13.490262         |1,384.88                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-29|EB21      |Waltloo             |Makwande                  |2,302         |10.26           |20.597942         |3,375.38                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-08|EA33      |Alrode              |Unitrans Supply Chain Sols|2,007         |9.52            |26.332992         |3,156.22                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-23|EB06      |Island View Terminal|Tanker Services Fuel      |963           |7.5             |8.78636           |1,576.81                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-28|EB06      |Island View Terminal|Tanker Services Fuel      |423           |27.45           |9.180952          |1,187.43                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-29|EA35      |Bethlehem           |Unitrans Supply Chain Sols|902           |3.42            |2.365632          |584.67                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-15|EB06      |Island View Terminal|Tanker Services Fuel      |1,542         |14.37           |21.623976         |3,163.29                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-08|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|500           |12.35           |4.269888          |368.53                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
